Target,Group,Masu,Nai,Te,Ta,Chapter,Quiz,Importance,Reading
起きる,2,起きます,起きない,起きて,起きた,4,1,0,お
寝る,2,寝ます,寝ない,寝て,寝た,4,1,0,ね
働く,1,働きます,働かない,働いて,働いた,4,1,0,はたら
終わる,1,終わります,終わらない,終わって,終わった,4,1,0,お
勉強する,3,勉強します,勉強しない,勉強して,勉強した,4,1,0,べんきょう
来る,ex3,来ます,来ない,来て,来た,4,1,0,く
行く,1,行きます,行かない,行って,行った,5,1,0,い
帰る,ex1,帰ります,帰らない,帰って,帰った,5,1,0,かえ
食べる,2,食べます,食べない,食べて,食べた,6,1,0,た
飲む,1,飲みます,飲まない,飲んで,飲んだ,6,1,0,の
吸う,1,吸います,吸わない,吸って,吸った,6,1,0,す
見る,2,見ます,見ない,見て,見た,6,1,0,み
聞く,1,聞きます,聞かない,聞いて,聞いた,6,1,0,き
読む,1,読みます,読まない,読んで,読んだ,6,1,0,よ
書く,1,書きます,かかない,書いて,書いた,6,1,0,か
買う,1,買います,買わない,買って,買った,6,1,0,か
とる,1,とります,とらない,とって,とった,6,1,0,
する,3,します,しない,して,した,6,1,0,
会う,1,会います,会わない,会って,会った,6,1,0,あ
切る,1,切ります,切らない,切って,切った,7,1,0,き
送る,1,送ります,送らない,送って,送った,7,1,0,おく
あげる,2,あげます,あげない,あげて,あげた,7,1,0,
もらう,1,もらいます,もらわない,もらって,もらった,7,1,0,
かす,1,かします,かさない,かして,かした,7,1,0,
借りる,2,借ります,借りない,借りて,借りた,7,1,0,か
教える,2,教えます,教えない,教えて,教えた,7,1,0,おし
かける,2,かけます,かけない,かけて,かけた,7,1,0,
習う,1,習います,習わない,習って,習った,7,1,0,なら
分かる,1,分かります,分からない,分かって,分かった,10,1,0,わ
ある,1,あります,ない,あって,あった,10,1,0,
いる,ex2,います,いない,いて,いた,10,1,0,
かかる,1,かかります,かからない,かかって,かかった,11,1,0,
休む,1,休みます,休まない,休んで,休んだ,11,1,0,やす
遊ぶ,1,遊びます,遊ばない,遊んで,遊んだ,13,1,0,あそ
泳ぐ,1,泳ぎます,泳がない,泳いで,泳いだ,13,1,0,およ
迎える,2,迎えます,迎えない,迎えて,迎えた,13,1,0,むか
疲れる,2,疲れます,疲れない,疲れて,疲れた,13,1,0,つか
結婚する,3,結婚します,結婚しない,結婚して,結婚した,13,1,0,けっこん
買い物する,3,買い物します,買い物しない,買い物して,買い物した,13,1,0,かいもの
食事する,3,食事します,食事しない,食事して,食事した,13,1,0,しょくじ
散歩する,3,散歩します,散歩しない,散歩して,散歩した,13,1,0,さんぽ
つける,2,つけます,つけない,つけて,つけた,14,1,0,
消す,1,消します,消さない,消して,消した,14,1,0,け
開ける,2,開けます,開けない,開けて,開けた,14,1,0,あ
閉める,2,閉めます,閉めない,閉めて,閉めた,14,1,0,し
急ぐ,1,急ぎます,急がない,急いで,急いだ,14,1,0,いそ
待つ,1,待ちます,待たない,待って,待った,14,1,0,ま
持つ,1,持ちます,持たない,持って,持った,14,1,0,も
取る,1,取ります,取らない,取って,取った,14,1,0,と
手伝う,1,手伝います,手伝わない,手伝って,手伝った,14,1,0,てつだ
呼ぶ,1,呼びます,呼ばない,呼んで,呼んだ,14,1,0,よ
使う,1,使います,使わない,使って,使った,14,1,0,つか
止める,2,止めます,止めない,止めて,止めた,14,1,0,と
見せる,2,見せます,見せない,見せて,見せた,14,1,0,み
座る,1,座ります,座らない,座って,座った,14,1,0,すわ
立つ,1,立ちます,立たない,立って,立った,14,1,0,た
入る,1,入ります,入らない,入って,入った,14,1,0,はい
出る,2,出ます,出ない,出て,出た,14,1,0,で
ふる,1,ふります,ふらない,ふって,ふった,14,1,0,
コピーする,3,コピーします,コピーしない,コピーして,コピーした,14,1,0,
置く,1,置きます,置かない,置いて,置いた,14,1,0,お
研究する,3,研究します,研究しない,研究して,研究した,14,1,0,けんきゅう
作る,1,作ります,作らない,作って,作った,15,1,0,つく
売る,1,売ります,売らない,売って,売った,15,1,0,う
知る,1,知ります,知らない,知って,知った,15,1,0,し
住む,1,住みます,住まない,住んで,住んだ,15,1,0,す
乗り換える,2,乗り換えます,乗り換えない,乗り換えて,乗り換えた,16,1,0,のりか
浴びる,2,浴びます,浴びない,浴びて,浴びた,16,1,0,あ
入れる,2,入れます,入れない,入れて,入れた,16,1,0,い
